Region,Country,State,City,Month,Day,Year,AvgTemperature
North America,US,Ohio,Toledo,8,17,2019,75.7
North America,US,Wisconsin,Milwaukee,5,19,2006,52.3
North America,US,Illinois,Peoria,9,5,2017,64.1
North America,US,Oregon,Eugene,8,26,2009,61.5
Europe,Albania,,Tirana,4,6,1999,57.2
Asia,South Korea,,Seoul,10,11,2013,59.5
Europe,Greece,,Athens,9,7,2001,75.9
North America,US,California,Fresno,10,4,1997,70.0
Africa,Uganda,,Kampala,1,18,2002,72.1
Europe,Finland,,Helsinki,5,25,2012,60.1
Europe,France,,Paris,1,29,2004,34.1
North America,US,Kansas,Wichita,11,30,2004,29.9
North America,US,Texas,Houston,11,11,1999,66.5
North America,US,Alabama,Montgomery,7,18,2007,79.7
Middle East,Kuwait,,Kuwait,6,20,2019,100.3
North America,US,Florida,Orlando,5,4,2004,70.5
Europe,Greece,,Athens,8,1,2009,85.7
North America,US,Rhode Island,Rhode Island,12,2,2005,41.6
Asia,India,,Calcutta,6,18,2012,87.8
North America,US,Vermont,Burlington,11,6,2001,39.8
North America,US,Texas,San Antonio,3,31,2008,73.8
South/Central America & Carribean,Nicaragua,,Managua,10,17,2005,79.8
North America,US,Georgia,Savannah,9,21,2013,75.6
North America,US,Kansas,Wichita,11,11,2014,31.6
Middle East,Saudi Arabia,,Dhahran,1,1,2011,60.4
North America,US,Montana,Helena,8,7,2000,74.0
South/Central America & Carribean,Venezuela,,Caracas,12,22,2002,82.0
South/Central America & Carribean,Uruguay,,Montvideo,11,20,2017,57.7
Middle East,Turkey,,Istanbul,9,19,2008,63.8
North America,US,Arizona,Flagstaff,11,18,2000,23.8
North America,US,Wyoming,Casper,10,17,2010,47.7
South/Central America & Carribean,Bermuda,,Hamilton,1,24,2005,56.4
Europe,Portugal,,Lisbon,6,11,2012,65.5
North America,US,Colorado,Pueblo,2,26,2001,37.5
North America,Canada,,Halifax,3,10,2002,42.7
South/Central America & Carribean,Honduras,,Tegucigalpa,12,7,2017,67.9
North America,US,Louisiana,Shreveport,4,16,2014,50.8
Africa,Senegal,,Dakar,2,10,2001,73.2
Africa,Sierra Leone,,Freetown,9,7,2000,-99.0
Asia,Malaysia,,Kuala Lumpur,11,10,1996,79.7
North America,Canada,,Toronto,3,29,2000,39.4
North America,US,Pennsylvania,Erie,10,18,2015,40.4
North America,US,Additional Territories,San Juan Puerto Rico,9,21,1996,82.8
North America,US,Tennessee,Knoxville,8,12,2004,66.3
North America,US,Colorado,Denver,2,5,2019,27.8
